pairID	tags
2946464027.jpg#0r1n	Insertion
3036382555.jpg#0r1e	Generalisation,Quantifier
2936881937.jpg#2r1e	Generalisation
6979303317.jpg#0r1e	Generalisation,Quantifier
4512171349.jpg#2r1e	Generalisation,Quantifier
1680409989.jpg#0r1e	Image_mismatch,Insertion
4684641618.jpg#0r1c	Entity,Quantifier,Verb
2289096282.jpg#1r1e	Generalisation,Quantifier,World_knowledge
3167503189.jpg#2r1e	Generalisation
4859630545.jpg#1r1c	Entity,Verb,World_knowledge
2348557363.jpg#4r1e	Generalisation
4796753895.jpg#1r1n	Generalisation,World_knowledge
3419238351.jpg#0r1n	Insertion
764507.jpg#3r1n	Image_mismatch,Insertion,World_knowledge
764507.jpg#3r1e	Generalisation,Quantifier
4777826385.jpg#0r1c	Entity,Verb
2592711202.jpg#3r1c	Insertion
2004326408.jpg#0r1e	Generalisation
273248777.jpg#0r1c	Entity,Verb
664470170.jpg#0r1e	Generalisation,Quantifier
2737097000.jpg#1r1n	Image_mismatch,Insertion
4774884519.jpg#0r1c	Entity,Verb
4914029409.jpg#0r1c	Entity,Quantifier,Verb
4525101035.jpg#3r1n	Insertion
2743046728.jpg#3r1e	Generalisation
3192645199.jpg#0r1c	Incorrect
4705275413.jpg#0r1n	Image_mismatch,Insertion,World_knowledge
3289817083.jpg#2r1e	Incorrect
3638783842.jpg#2r1c	Entity,Quantifier
8227381437.jpg#4r1e	Generalisation,World_knowledge
759822302.jpg#2r1c	Entity,Verb,World_knowledge
2747436384.jpg#3r1n	Image_mismatch,Insertion,World_knowledge
6073765731.jpg#2r1n	Insertion
6218407324.jpg#1r1c	Incorrect
2407214681.jpg#2r1c	Entity,Image_mismatch,Verb
481355454.jpg#1r1e	Generalisation,Quantifier
209088143.jpg#3r1e	Image_mismatch,Insertion
74706256.jpg#0r1n	Insertion
282741726.jpg#1r1c	Quantifier,Verb,World_knowledge
3474406285.jpg#3r1e	Generalisation,World_knowledge
384577800.jpg#1r1n	Insertion
4848911761.jpg#1r1n	Generalisation,Quantifier,World_knowledge
2045445292.jpg#1r1e	Generalisation,Quantifier
3330935489.jpg#4r1e	Generalisation
5922967014.jpg#3r1e	Generalisation,Quantifier
4484802872.jpg#0r1c	Entity,Verb
3096918227.jpg#0r1e	Generalisation
3096918227.jpg#0r1c	Entity,Verb
47529535.jpg#4r1c	Verb,World_knowledge
686569442.jpg#1r1e	Insertion
3160699.jpg#1r1e	Paraphrase
6827875949.jpg#0r1n	Insertion
2957660840.jpg#4r1c	Entity,World_knowledge
3503689049.jpg#4r1e	Generalisation
518230621.jpg#3r1c	Verb
294074951.jpg#1r1c	Verb
4685056764.jpg#2r1n	Insertion
2146640888.jpg#3r1e	Generalisation,Quantifier
4633771017.jpg#2r1n	Image_mismatch,Insertion
2705921240.jpg#1r1n	Insertion
4637466845.jpg#0r1e	Generalisation
520341293.jpg#3r1c	Entity,Verb
4818774874.jpg#0r1e	Generalisation
563404108.jpg#4r1c	Incorrect
563404108.jpg#4r1n	Insertion
638855308.jpg#4r1c	Entity,Verb
4515634167.jpg#4r1n	Image_mismatch,Insertion
4885169856.jpg#0r1c	Entity,Verb
3344411431.jpg#4r1c	Incorrect
3216316010.jpg#3r1e	Generalisation
6314475602.jpg#1r1c	Incorrect
6314475602.jpg#4r1c	Entity,Verb
5246144737.jpg#3r1n	Insertion
4878089623.jpg#0r1n	Insertion
1128230658.jpg#0r1n	Insertion
3529333786.jpg#0r1n	Insertion
6962373672.jpg#0r1c	Incorrect
507370544.jpg#3r1n	Image_mismatch,Insertion
889751330.jpg#4r1c	Entity
2764732789.jpg#3r1e	Generalisation
3259160693.jpg#0r1c	Incorrect
7378528824.jpg#2r1e	Generalisation
23925202.jpg#0r1n	Insertion
2399674240.jpg#0r1n	Insertion
2346401538.jpg#0r1e	Generalisation
3222749441.jpg#2r1c	Quantifier,Verb,World_knowledge
4701941908.jpg#0r1e	Generalisation
6782818493.jpg#0r1e	Generalisation,Quantifier
2803058589.jpg#3r1c	Verb,World_knowledge
8112734986.jpg#0r1e	Generalisation,World_knowledge
2206282062.jpg#0r1e	Generalisation,Quantifier
2432709509.jpg#2r1c	Entity,World_knowledge
4655980982.jpg#3r1c	Verb
2833509990.jpg#2r1c	Entity,Quantifier,Verb
218225539.jpg#3r1c	Entity,Quantifier,Verb
4552868920.jpg#0r1c	Image_mismatch,Insertion,Unrelated
4552868920.jpg#0r1n	Image_mismatch,Insertion
4941418868.jpg#4r1c	Entity,Verb
128395441.jpg#1r1c	Entity,World_knowledge
221422499.jpg#0r1n	Insertion
4329180364.jpg#3r1n	Image_mismatch,Insertion
4333374998.jpg#0r1n	Insertion
4463883091.jpg#3r1e	Generalisation,World_knowledge
4683961369.jpg#1r1n	Insertion
246120654.jpg#2r1e	Generalisation,Quantifier
418112325.jpg#3r1n	Image_mismatch,Insertion
4666848560.jpg#0r1c	Quantifier
2891451496.jpg#4r1e	Generalisation
223864886.jpg#4r1n	Insertion,Unrelated
3098336319.jpg#3r1c	Entity,Verb
4818426478.jpg#2r1n	Image_mismatch,Insertion
3417672954.jpg#0r1n	Image_mismatch,Insertion
256085101.jpg#4r1n	Insertion
3359414778.jpg#4r1e	Generalisation
649596742.jpg#0r1e	Generalisation
4587968317.jpg#2r1n	Insertion,World_knowledge
4587968317.jpg#2r1c	Entity,Verb,World_knowledge
40469496.jpg#3r1c	Entity,Verb
2380765956.jpg#2r1n	Insertion
6489895665.jpg#1r1c	Entity,Quantifier,Verb
4717777678.jpg#1r1e	Generalisation
7088139589.jpg#0r1e	Generalisation
4757629703.jpg#2r1e	Incorrect
4757629703.jpg#2r1n	Image_mismatch,Insertion
4920455740.jpg#4r1n	Insertion
3609448700.jpg#3r1n	Insertion
3609448700.jpg#0r1e	Generalisation,Quantifier
4669745123.jpg#4r1n	Entity,Quantifier
4015868140.jpg#4r1c	Entity
6503926903.jpg#3r1n	Insertion
4897479032.jpg#0r1n	Image_mismatch,Insertion
4745009944.jpg#0r1c	Entity,Quantifier,Verb
5248756214.jpg#0r1c	Entity,Verb
3699318394.jpg#3r1e	Generalisation
3080363242.jpg#0r1n	Image_mismatch,Insertion
8091220380.jpg#0r1n	Insertion
311619377.jpg#3r1n	Image_mismatch,Insertion
492358389.jpg#1r1c	Entity
2993318965.jpg#0r1n	Insertion
3966311887.jpg#2r1c	Verb,World_knowledge
312644387.jpg#1r1c	Entity,Verb
2435508244.jpg#0r1n	Insertion
37791887.jpg#0r1e	Generalisation,Quantifier
3231751379.jpg#2r1c	Entity
3987123697.jpg#2r1n	Image_mismatch,Insertion
8151603778.jpg#1r1n	Insertion
3944169186.jpg#4r1c	Entity
2226343167.jpg#0r1c	Entity,Verb
7074956741.jpg#2r1e	Generalisation,Quantifier
7149127777.jpg#4r1c	Entity,Verb,World_knowledge
4756836245.jpg#2r1c	Incorrect
392168458.jpg#0r1c	Verb
7638344872.jpg#0r1n	Insertion
4686530812.jpg#1r1n	Insertion
2230813326.jpg#1r1e	Generalisation,Quantifier
4679648220.jpg#1r1n	Generalisation,Quantifier
4679648220.jpg#1r1e	Insertion
4486440297.jpg#1r1e	Generalisation,World_knowledge
2521062020.jpg#3r1c	Swap,Verb
4556897985.jpg#4r1c	Image_mismatch,Insertion
4395957776.jpg#1r1c	Incorrect
275170445.jpg#2r1n	Insertion
7319142966.jpg#0r1e	Generalisation,World_knowledge
4963263177.jpg#4r1n	Image_mismatch,Insertion,Unrelated
2984961568.jpg#0r1n	Insertion
4821121646.jpg#2r1e	Generalisation
4255821890.jpg#0r1e	Generalisation
6251875212.jpg#0r1n	Insertion,World_knowledge
3178385265.jpg#2r1n	Image_mismatch,Insertion,World_knowledge
4804949713.jpg#2r1e	Generalisation
2632429064.jpg#4r1e	Generalisation,Quantifier,World_knowledge
1235681222.jpg#2r1c	Verb
459560694.jpg#1r1e	Generalisation
484093882.jpg#0r1n	Incorrect
2631799914.jpg#3r1n	Paraphrase,World_knowledge
2328550379.jpg#0r1e	Incorrect
3502897880.jpg#0r1n	Image_mismatch,Insertion
608257195.jpg#0r1c	Incorrect
263850317.jpg#4r1c	Insertion
4315212557.jpg#0r1e	Generalisation,Quantifier
2191783475.jpg#4r1n	Insertion
4470861434.jpg#3r1e	Incorrect
4470861434.jpg#3r1n	Insertion
1500853305.jpg#3r1c	Incorrect
1500853305.jpg#0r1c	Image_mismatch,Insertion
3620565950.jpg#0r1n	Insertion
4637052380.jpg#4r1c	Incorrect
6337872636.jpg#3r1n	Insertion
3381788544.jpg#2r1c	Incorrect
357725852.jpg#4r1c	Image_mismatch,Insertion
3150742439.jpg#0r1n	Insertion
6796432180.jpg#4r1e	Incorrect
8174939463.jpg#1r1c	Entity,Quantifier,Verb,World_knowledge
5995817000.jpg#1r1c	Verb
5995817000.jpg#1r1n	Insertion
3523950181.jpg#4r1c	Entity
2629346153.jpg#3r1c	Entity,Verb
2774187381.jpg#3r1c	Entity,Verb
3410215754.jpg#3r1n	Insertion
6003400894.jpg#3r1e	Generalisation,World_knowledge
