pairID	tags
2677109430.jpg#1r1n	PRONOUN,DIFF_TENSE
2677109430.jpg#1r1e	PRONOUN,DIFF_TENSE
2677109430.jpg#1r1c	PRONOUN,SYNONYM,DIFF_TENSE
6160193920.jpg#4r1n	
6160193920.jpg#4r1e	
6160193920.jpg#4r1c	
4791890474.jpg#3r1e	SYNONYM
4791890474.jpg#3r1n	SYNONYM
4791890474.jpg#3r1c	SYNONYM
6526219567.jpg#4r1n	NEGATION,PRONOUN,DIFF_TENSE
6526219567.jpg#4r1e	NEGATION,QUANTIFIER,SYNONYM,DIFF_TENSE
6526219567.jpg#4r1c	NEGATION,DIFF_TENSE
2832076014.jpg#2r1n	PRONOUN,SYNONYM,DIFF_TENSE
2832076014.jpg#2r1e	DIFF_TENSE
2832076014.jpg#2r1c	DIFF_TENSE
1034985636.jpg#3r1c	BARE_NP
1034985636.jpg#3r1e	BARE_NP
1034985636.jpg#3r1n	DIFF_TENSE
3856149623.jpg#1r1e	PRONOUN,DIFF_TENSE
3856149623.jpg#1r1c	PRONOUN,DIFF_TENSE
3856149623.jpg#1r1n	PRONOUN,DIFF_TENSE
3827316480.jpg#0r1c	ANTONYM,QUANTIFIER,SYNONYM,DIFF_TENSE
3827316480.jpg#0r1e	QUANTIFIER,SYNONYM,DIFF_TENSE
3827316480.jpg#0r1n	PRONOUN,QUANTIFIER,SYNONYM,DIFF_TENSE
2946464027.jpg#0r1n	PRONOUN,DIFF_TENSE
2946464027.jpg#0r1c	PRONOUN,DIFF_TENSE
2946464027.jpg#0r1e	PRONOUN,DIFF_TENSE
3572548523.jpg#4r1e	DIFF_TENSE
3572548523.jpg#4r1n	DIFF_TENSE
3572548523.jpg#4r1c	DIFF_TENSE
4460943467.jpg#0r1c	ANTONYM,QUANTIFIER,SYNONYM,DIFF_TENSE
4460943467.jpg#0r1n	QUANTIFIER,SYNONYM,DIFF_TENSE
4460943467.jpg#0r1e	QUANTIFIER,SYNONYM,DIFF_TENSE
2096485764.jpg#0r1e	
2096485764.jpg#0r1n	DIFF_TENSE
